,lat,lon,pred,std
350,52.75,-9.75,7.805415,2.623162
351,52.75,-9.25,7.6523457,2.6149745
352,52.75,-8.75,7.5225773,2.6109974
353,52.75,-8.25,7.4285727,2.6093824
354,52.75,-7.75,7.3788724,2.608971
355,52.75,-7.25,7.3731246,2.6091154
356,52.75,-6.75,7.399737,2.6094646
357,52.75,-6.2500005,7.4370556,2.6097744
358,52.75,-4.75,7.384323,2.6081746
359,52.75,-4.25,7.276073,2.6074696
360,52.75,-3.75,7.1480436,2.6072342
361,52.75,-3.25,7.031766,2.6073735
362,52.75,-2.75,6.9423227,2.607709
363,52.75,-2.25,6.8825207,2.6080678
364,52.75,-1.7500001,6.855841,2.6083817
365,52.75,-1.25,6.865445,2.6086328
366,52.75,-0.75,6.9101977,2.6090777
367,52.75,-0.25,6.984008,2.6101885
368,52.75,0.25,7.074837,2.612344
369,52.75,0.74999994,7.168734,2.6156638
370,52.75,1.25,7.2522235,2.6199367
371,52.75,1.75,7.31096,2.6246676
372,52.75,4.75,6.9641986,2.6234903
373,52.75,5.75,6.676529,2.619321
374,52.75,6.2500005,6.5346627,2.6198013
375,52.75,6.75,6.4016542,2.6230934
376,52.75,7.25,6.277103,2.6306968
377,52.75,7.75,6.1574926,2.6446202
378,53.25,-10.25,7.8026423,2.6375012
379,53.25,-9.75,7.620774,2.6226544
380,53.25,-9.25,7.44883,2.6143327
381,53.25,-8.75,7.3023214,2.6101432
382,53.25,-8.25,7.196001,2.6082711
383,53.25,-7.75,7.138899,2.6076076
384,53.25,-7.25,7.1307693,2.6075706
385,53.25,-6.75,7.1596804,2.60789
386,53.25,-6.2500005,7.2034636,2.6083753
387,53.25,-4.75,7.1864195,2.6079886
388,53.25,-4.25,7.0887074,2.607443
389,53.25,-3.75,6.96618,2.6071525
390,53.25,-3.25,6.8481755,2.6071224
391,53.25,-2.75,6.7505484,2.6073282
392,53.25,-2.25,6.6818986,2.6077247
393,53.25,-1.7500001,6.653053,2.6082752
394,53.25,-1.25,6.6695194,2.6090693
395,53.25,-0.75,6.7255216,2.6104589
396,53.25,-0.25,6.810562,2.6129503
397,53.25,0.25,6.911199,2.6169505
398,53.25,4.75,6.919496,2.6361198
399,53.25,5.25,6.7882237,2.6324425
400,53.25,5.75,6.6485767,2.6301882
401,53.25,6.2500005,6.509632,2.630019
402,53.25,6.75,6.376695,2.6329052
403,53.25,7.25,6.2492323,2.640413
404,53.25,7.75,6.123552,2.6545818
405,53.75,-10.25,7.6593237,2.6424572
406,53.75,-9.75,7.46453,2.6264577
407,53.75,-9.25,7.280666,2.617058
408,53.75,-8.75,7.1245,2.6119082
409,53.75,-8.25,7.011575,2.609228
410,53.75,-7.75,6.950347,2.607914
411,53.75,-7.25,6.9390035,2.607368
412,53.75,-6.75,6.9648414,2.6072986
413,53.75,-6.2500005,7.005356,2.6075218
414,53.75,-3.25,6.648647,2.606854
415,53.75,-2.75,6.5445895,2.607077
416,53.75,-2.25,6.4741745,2.60764
417,53.75,-1.7500001,6.4518523,2.6086092
418,53.75,-1.25,6.47929,2.6102421
419,53.75,-0.75,6.5467715,2.6130116
420,53.75,-0.25,6.6412206,2.6174502
421,53.75,0.25,6.748006,2.623865
422,53.75,7.25,6.1588535,2.6561944
